Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
1,5,241,1,6,39,569
4,22,231,23,0,49,21
1,5,174,43,0,48,858
1,17,161,1,2,33,443
1,5,174,43,0,48,858
4,22,192,23,6,39,296
4,22,191,1,6,20,696
1,17,161,1,4,29,673
4,22,191,47,6,20,696
1,18,172,67,3,36,744
1,18,172,67,2,33,443
4,22,169,23,0,49,240
4,22,0,55,0,49,240
1,18,172,67,3,36,905
1,0,0,67,2,33,443
1,18,172,67,2,33,443
1,18,172,67,4,29,433
1,20,27,27,1,43,929
4,22,191,1,6,20,231
1,18,172,67,3,36,55
1,5,241,1,5,19,656
4,11,148,1,5,19,774
1,18,172,54,3,36,744
2,3,88,12,0,49,21
1,17,161,47,2,33,793
1,5,241,54,0,49,240
1,20,27,1,2,33,793
2,2,36,11,3,36,572
1,18,172,67,2,33,793
4,22,231,23,1,43,909
1,18,172,67,2,33,793
1,18,172,67,0,48,733
4,22,191,23,6,20,307
1,18,172,38,2,33,348
1,18,172,67,2,33,793
1,18,172,67,2,33,793
1,18,172,67,2,33,793
4,6,91,1,1,43,900
1,5,241,47,2,33,443
4,22,191,1,6,20,231
1,18,172,67,3,36,55
1,18,172,67,3,36,555
1,5,241,47,5,19,774
2,2,36,18,3,36,553
4,22,231,1,1,4,833
4,22,231,1,1,4,898
1,18,172,67,0,49,21
1,18,172,67,5,19,453
1,5,174,27,0,48,733
1,18,172,2,1,43,460
1,5,174,1,6,39,687
1,16,215,54,3,36,555
4,22,169,1,2,33,443
4,22,191,1,4,29,570
4,22,48,47,6,20,231
4,19,190,55,5,19,656
1,17,196,1,6,39,687
1,20,139,1,6,39,687
1,0,0,3,5,19,656
4,22,219,1,3,46,645
4,22,219,1,3,46,645
4,22,191,47,6,39,296
1,5,241,54,0,49,21
1,18,172,67,0,49,21
1,5,241,68,2,33,793
1,18,172,67,0,49,21
2,2,36,24,5,3,850
4,6,91,1,1,43,802
4,6,91,47,1,43,0
1,5,174,43,0,49,240
4,22,191,1,6,20,374
1,5,174,38,6,20,449
1,18,172,67,3,46,610
1,5,241,68,4,29,799
1,5,241,58,0,49,240
4,22,38,47,6,20,231
1,18,172,22,2,33,348
1,18,172,67,0,49,884
1,18,172,1,1,43,94
4,22,32,47,6,39,296
1,5,241,63,4,29,433
1,5,241,68,1,43,929
1,5,174,1,3,46,878
1,5,241,63,5,19,110
1,5,241,54,0,49,21
2,2,36,18,0,49,240
4,6,71,1,1,43,389
4,22,231,28,0,48,858
1,18,172,38,0,49,240
4,7,230,23,1,4,719
1,5,174,54,0,48,798
4,19,229,1,1,43,929
4,22,191,1,6,20,329
1,5,174,68,3,46,622
4,19,17,1,6,20,66
4,22,30,23,0,48,234
4,22,0,3,3,46,540
4,22,58,1,1,4,898
1,18,172,54,3,36,852
1,18,172,67,1,4,155
1,5,241,47,4,29,418
4,22,191,27,1,43,929
1,18,172,67,1,43,929
1,18,172,67,4,29,418
1,17,53,23,1,43,929
1,5,241,1,2,33,793
4,22,191,1,6,20,696
2,2,36,24,2,33,793
1,18,172,67,2,33,793
1,8,0,27,1,43,935
4,6,76,1,1,43,929
4,6,99,1,2,33,512
1,5,241,1,1,43,929
1,18,172,67,3,36,241
1,18,172,67,3,36,905
4,6,76,1,1,43,929
4,22,38,1,6,20,47
1,5,241,27,1,43,389
1,5,241,27,1,43,94
1,18,172,67,2,33,443
1,5,174,1,3,46,807
1,5,174,1,6,20,728
4,6,92,27,5,19,656
1,5,174,1,6,20,728
